timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 17:31:46.073, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:31:51.081, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.55 W
2026/08/07 17:31:56.096, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.44 W
2026/08/07 17:32:01.107, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.02 W
2026/08/07 17:32:06.121, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 53.84 W
2026/08/07 17:32:11.129, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.02 W
2026/08/07 17:32:16.143, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:32:21.171, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.32 W
2026/08/07 17:32:26.187, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.32 W
2026/08/07 17:32:31.203, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:32:36.215, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:32:41.228, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:32:46.238, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.55 W
2026/08/07 17:32:51.247, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.56 W
2026/08/07 17:32:56.254, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:01.268, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.32 W
2026/08/07 17:33:06.288, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:11.303, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:16.314, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.55 W
2026/08/07 17:33:21.326, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:26.343, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:31.353, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:36.367, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:41.381, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:46.391, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:51.401, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:33:56.415, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.56 W
2026/08/07 17:34:01.426, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.44 W
2026/08/07 17:34:06.441, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.67 W
2026/08/07 17:34:11.452, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 101.55 W
